document_id,field_path,baseline_failure_class,recovered_by_spans,recovered_by_ocr,recovered_by_cells,recovered_by_union
short/real_clinton_property_25_11073,creditors[0].mailing_address[1],ASSOCIATION_RANK_MISS,True,False,False,True
short/real_clinton_property_25_11073,creditors[0].priority_code_subsection,ASSOCIATION_RANK_MISS,False,False,False,True
short/real_clinton_property_25_11073,creditors[0].priority_amount,ASSOCIATION_RANK_MISS,False,False,False,True
short/real_clinton_property_25_11073,creditors[0].basis_for_claim,ASSOCIATION_RANK_MISS,True,False,False,True
short/real_clinton_property_25_11073,creditors[0].disputed,INCOMPLETE_PERCEPTION,False,False,False,False
short/real_clinton_property_25_11073,creditors[0].subject_to_offset,ASSOCIATION_RANK_MISS,False,False,False,True
short/real_clinton_property_25_11073,creditors[1].number,ASSOCIATION_RANK_MISS,False,False,False,True
short/real_clinton_property_25_11073,creditors[1].part,INCOMPLETE_PERCEPTION,False,False,False,False
short/real_clinton_property_25_11073,creditors[1].mailing_address[0],ASSOCIATION_RANK_MISS,True,False,False,True
short/real_clinton_property_25_11073,creditors[1].basis_for_claim,ASSOCIATION_RANK_MISS,True,False,True,True
short/real_clinton_property_25_11073,creditors[1].disputed,INCOMPLETE_PERCEPTION,False,False,False,False
short/real_clinton_property_25_11073,creditors[1].subject_to_offset,ASSOCIATION_RANK_MISS,False,False,False,True
short/real_clinton_property_25_11073,creditors[2].number,ASSOCIATION_RANK_MISS,False,False,False,True
short/real_clinton_property_25_11073,creditors[2].part,INCOMPLETE_PERCEPTION,False,False,False,False
short/real_clinton_property_25_11073,creditors[2].mailing_address[1],ASSOCIATION_RANK_MISS,True,False,False,True
short/real_clinton_property_25_11073,creditors[2].basis_for_claim,ASSOCIATION_RANK_MISS,True,False,True,True
short/real_clinton_property_25_11073,creditors[2].disputed,INCOMPLETE_PERCEPTION,False,False,False,False
short/real_clinton_property_25_11073,creditors[2].subject_to_offset,ASSOCIATION_RANK_MISS,False,False,False,True
short/real_clinton_property_25_11073,creditors[3].number,ASSOCIATION_RANK_MISS,False,False,False,True
short/real_clinton_property_25_11073,creditors[3].part,INCOMPLETE_PERCEPTION,False,False,False,False
short/real_clinton_property_25_11073,creditors[3].mailing_address[1],ASSOCIATION_RANK_MISS,True,False,False,True
short/real_clinton_property_25_11073,creditors[3].basis_for_claim,ASSOCIATION_RANK_MISS,True,False,True,True
short/real_clinton_property_25_11073,creditors[3].disputed,INCOMPLETE_PERCEPTION,False,False,False,False
short/real_clinton_property_25_11073,creditors[3].subject_to_offset,ASSOCIATION_RANK_MISS,False,False,False,True
short/real_clinton_property_25_11073,creditors[4].number,ASSOCIATION_RANK_MISS,False,False,False,True
short/real_clinton_property_25_11073,creditors[4].part,INCOMPLETE_PERCEPTION,False,False,False,False
short/real_clinton_property_25_11073,creditors[4].mailing_address[1],ASSOCIATION_RANK_MISS,True,False,False,True
short/real_clinton_property_25_11073,creditors[4].basis_for_claim,ASSOCIATION_RANK_MISS,True,False,True,True
short/real_clinton_property_25_11073,creditors[4].disputed,INCOMPLETE_PERCEPTION,False,False,False,False
short/real_clinton_property_25_11073,creditors[4].subject_to_offset,ASSOCIATION_RANK_MISS,False,False,False,True
short/real_clinton_property_25_11073,creditors[5].number,ASSOCIATION_RANK_MISS,False,False,False,True
short/real_clinton_property_25_11073,creditors[5].part,INCOMPLETE_PERCEPTION,False,False,False,False
short/real_clinton_property_25_11073,creditors[5].basis_for_claim,ASSOCIATION_RANK_MISS,True,False,True,True
short/real_clinton_property_25_11073,creditors[5].disputed,INCOMPLETE_PERCEPTION,False,False,False,False
short/real_clinton_property_25_11073,creditors[5].subject_to_offset,ASSOCIATION_RANK_MISS,False,False,False,True
short/real_clinton_property_25_11073,creditors[6].number,ASSOCIATION_RANK_MISS,False,False,False,True
short/real_clinton_property_25_11073,creditors[6].part,INCOMPLETE_PERCEPTION,False,False,False,False
short/real_clinton_property_25_11073,creditors[6].basis_for_claim,ASSOCIATION_RANK_MISS,True,False,True,True
short/real_clinton_property_25_11073,creditors[6].disputed,INCOMPLETE_PERCEPTION,False,False,False,False
short/real_clinton_property_25_11073,creditors[6].subject_to_offset,ASSOCIATION_RANK_MISS,False,False,False,True
short/real_clinton_property_25_11073,creditors[7].number,ASSOCIATION_RANK_MISS,False,False,False,True
short/real_clinton_property_25_11073,creditors[7].part,INCOMPLETE_PERCEPTION,False,False,False,False
short/real_clinton_property_25_11073,creditors[7].creditor_name,ASSOCIATION_RANK_MISS,True,False,False,True
short/real_clinton_property_25_11073,creditors[7].mailing_address[0],ASSOCIATION_RANK_MISS,True,False,False,True
short/real_clinton_property_25_11073,creditors[7].mailing_address[1],ASSOCIATION_RANK_MISS,True,False,False,True
short/real_clinton_property_25_11073,creditors[7].basis_for_claim,ASSOCIATION_RANK_MISS,True,False,True,True
short/real_clinton_property_25_11073,creditors[7].contingent,INCOMPLETE_PERCEPTION,False,False,False,False
short/real_clinton_property_25_11073,creditors[7].unliquidated,INCOMPLETE_PERCEPTION,False,False,False,False
short/real_clinton_property_25_11073,creditors[7].disputed,INCOMPLETE_PERCEPTION,False,False,False,False
short/real_clinton_property_25_11073,creditors[7].subject_to_offset,ASSOCIATION_RANK_MISS,False,False,False,True
short/real_clinton_property_25_11073,creditors[7].amount_claimed,ASSOCIATION_RANK_MISS,False,False,False,True
short/real_clinton_property_25_11073,creditors[8].number,ASSOCIATION_RANK_MISS,False,False,False,True
short/real_clinton_property_25_11073,creditors[8].part,INCOMPLETE_PERCEPTION,False,False,False,False
short/real_clinton_property_25_11073,creditors[8].mailing_address[1],ASSOCIATION_RANK_MISS,True,False,False,True
short/real_clinton_property_25_11073,creditors[8].basis_for_claim,ASSOCIATION_RANK_MISS,True,False,True,True
short/real_clinton_property_25_11073,creditors[8].disputed,INCOMPLETE_PERCEPTION,False,False,False,False
short/real_clinton_property_25_11073,creditors[8].subject_to_offset,ASSOCIATION_RANK_MISS,False,False,False,True
short/real_clinton_property_25_11073,creditors[9].number,ASSOCIATION_RANK_MISS,False,False,False,True
short/real_clinton_property_25_11073,creditors[9].part,INCOMPLETE_PERCEPTION,False,False,False,False
short/real_clinton_property_25_11073,creditors[9].mailing_address[1],ASSOCIATION_RANK_MISS,True,False,False,True
short/real_clinton_property_25_11073,creditors[9].basis_for_claim,ASSOCIATION_RANK_MISS,True,False,True,True
short/real_clinton_property_25_11073,creditors[9].disputed,INCOMPLETE_PERCEPTION,False,False,False,False
short/real_clinton_property_25_11073,creditors[9].subject_to_offset,ASSOCIATION_RANK_MISS,False,False,False,True
short/real_clinton_property_25_11073,creditors[10].number,ASSOCIATION_RANK_MISS,False,False,False,True
short/real_clinton_property_25_11073,creditors[10].part,INCOMPLETE_PERCEPTION,False,False,False,False
short/real_clinton_property_25_11073,creditors[10].mailing_address[1],ASSOCIATION_RANK_MISS,True,False,False,True
short/real_clinton_property_25_11073,creditors[10].basis_for_claim,ASSOCIATION_RANK_MISS,True,False,True,True
short/real_clinton_property_25_11073,creditors[10].disputed,INCOMPLETE_PERCEPTION,False,False,False,False
short/real_clinton_property_25_11073,creditors[10].subject_to_offset,ASSOCIATION_RANK_MISS,False,False,False,True
short/real_clinton_property_25_11073,creditors[11].number,ASSOCIATION_RANK_MISS,False,False,False,True
short/real_clinton_property_25_11073,creditors[11].part,INCOMPLETE_PERCEPTION,False,False,False,False
short/real_clinton_property_25_11073,creditors[11].basis_for_claim,ASSOCIATION_RANK_MISS,True,False,True,True
short/real_clinton_property_25_11073,creditors[11].disputed,INCOMPLETE_PERCEPTION,False,False,False,False
short/real_clinton_property_25_11073,creditors[11].subject_to_offset,ASSOCIATION_RANK_MISS,False,False,False,True
short/real_clinton_property_25_11073,creditors[12].number,ASSOCIATION_RANK_MISS,False,False,False,True
short/real_clinton_property_25_11073,creditors[12].part,INCOMPLETE_PERCEPTION,False,False,False,False
short/real_clinton_property_25_11073,creditors[12].mailing_address[1],ASSOCIATION_RANK_MISS,True,False,False,True
short/real_clinton_property_25_11073,creditors[12].basis_for_claim,ASSOCIATION_RANK_MISS,True,False,True,True
short/real_clinton_property_25_11073,creditors[12].disputed,INCOMPLETE_PERCEPTION,False,False,False,False
short/real_clinton_property_25_11073,creditors[12].subject_to_offset,ASSOCIATION_RANK_MISS,False,False,False,True
short/real_clinton_property_25_11073,creditors[13].number,ASSOCIATION_RANK_MISS,False,False,False,True
short/real_clinton_property_25_11073,creditors[13].part,INCOMPLETE_PERCEPTION,False,False,False,False
short/real_clinton_property_25_11073,creditors[13].basis_for_claim,ASSOCIATION_RANK_MISS,True,False,True,True
short/real_clinton_property_25_11073,creditors[13].disputed,INCOMPLETE_PERCEPTION,False,False,False,False
short/real_clinton_property_25_11073,creditors[13].subject_to_offset,ASSOCIATION_RANK_MISS,False,False,False,True
short/real_clinton_property_25_11073,creditors[14].part,INCOMPLETE_PERCEPTION,False,False,False,False
short/real_clinton_property_25_11073,creditors[14].contingent,INCOMPLETE_PERCEPTION,False,False,False,False
short/real_clinton_property_25_11073,creditors[14].unliquidated,INCOMPLETE_PERCEPTION,False,False,False,False
short/real_clinton_property_25_11073,creditors[14].disputed,INCOMPLETE_PERCEPTION,False,False,False,False
short/real_clinton_property_25_11073,creditors[14].subject_to_offset,ASSOCIATION_RANK_MISS,False,False,False,True
short/sched_i__rotary_club_ty2024,tax_year,ASSOCIATION_RANK_MISS,False,False,False,True
short/sched_i__rotary_club_ty2024,total_other_org_count,INCOMPLETE_PERCEPTION,False,False,False,False
short/sched_i__rotary_club_ty2024,grants[0].city,ASSOCIATION_RANK_MISS,False,False,False,True
short/sched_i__rotary_club_ty2024,grants[1].recipient_name,COORDINATE_DRIFT,False,False,False,False
short/sched_i__rotary_club_ty2024,grants[2].city,ASSOCIATION_RANK_MISS,False,False,False,True
short/nport__bullfinch_fund_inc,holdings[0].issuer_category,INCOMPLETE_PERCEPTION,False,False,False,False
short/nport__bullfinch_fund_inc,holdings[0].fair_value_level,INCOMPLETE_PERCEPTION,False,False,False,False
short/nport__bullfinch_fund_inc,holdings[3].issuer_category,INCOMPLETE_PERCEPTION,False,False,False,False
short/nport__bullfinch_fund_inc,holdings[5].percent_of_net_assets,COORDINATE_DRIFT,False,False,False,False
short/nport__bullfinch_fund_inc,holdings[5].issuer_category,INCOMPLETE_PERCEPTION,False,False,False,False
short/nport__bullfinch_fund_inc,holdings[7].percent_of_net_assets,COORDINATE_DRIFT,False,False,False,False
short/nport__bullfinch_fund_inc,holdings[11].issuer_category,INCOMPLETE_PERCEPTION,False,False,False,False
short/nport__bullfinch_fund_inc,holdings[13].percent_of_net_assets,COORDINATE_DRIFT,False,False,False,False
short/nport__bullfinch_fund_inc,holdings[13].issuer_category,INCOMPLETE_PERCEPTION,False,False,False,False
short/nport__bullfinch_fund_inc,holdings[18].percent_of_net_assets,COORDINATE_DRIFT,False,False,False,False
short/nport__bullfinch_fund_inc,holdings[18].issuer_category,INCOMPLETE_PERCEPTION,False,False,False,False
short/nport__bullfinch_fund_inc,holdings[22].issuer_category,INCOMPLETE_PERCEPTION,False,False,False,False
short/nport__bullfinch_fund_inc,holdings[23].issuer_category,INCOMPLETE_PERCEPTION,False,False,False,False
short/nport__bullfinch_fund_inc,holdings[29].issuer_category,INCOMPLETE_PERCEPTION,False,False,False,False
short/nport__bullfinch_fund_inc,holdings[30].percent_of_net_assets,COORDINATE_DRIFT,False,False,False,False
short/nport__bullfinch_fund_inc,holdings[31].issuer_category,INCOMPLETE_PERCEPTION,False,False,False,False
short/nport__bullfinch_fund_inc,holdings[32].investment_country,INCOMPLETE_PERCEPTION,False,False,False,False
short/nport__bullfinch_fund_inc,holdings[33].issuer_lei,ASSOCIATION_RANK_MISS,False,False,False,True
short/nport__bullfinch_fund_inc,holdings[33].isin,ASSOCIATION_RANK_MISS,False,False,False,True
short/real_clinton_property_25_11073_corrupted,debtor_name,COORDINATE_DRIFT,False,False,False,False
short/real_clinton_property_25_11073_corrupted,case_number,INCOMPLETE_PERCEPTION,False,False,False,False
short/real_clinton_property_25_11073_corrupted,creditors[0].number,INCOMPLETE_PERCEPTION,False,False,False,False
short/real_clinton_property_25_11073_corrupted,creditors[0].part,INCOMPLETE_PERCEPTION,False,False,False,False
short/real_clinton_property_25_11073_corrupted,creditors[0].creditor_name,RETRIEVAL_NO_CANDIDATE,False,False,False,False
short/real_clinton_property_25_11073_corrupted,creditors[0].mailing_address[0],ASSOCIATION_RANK_MISS,False,False,False,True
short/real_clinton_property_25_11073_corrupted,creditors[0].mailing_address[1],ASSOCIATION_RANK_MISS,False,False,False,True
short/real_clinton_property_25_11073_corrupted,creditors[0].priority_code_subsection,ASSOCIATION_RANK_MISS,False,False,False,True
short/real_clinton_property_25_11073_corrupted,creditors[0].basis_for_claim,INCOMPLETE_PERCEPTION,False,False,False,False
short/real_clinton_property_25_11073_corrupted,creditors[0].contingent,INCOMPLETE_PERCEPTION,False,False,False,False
short/real_clinton_property_25_11073_corrupted,creditors[0].unliquidated,INCOMPLETE_PERCEPTION,False,False,False,False
short/real_clinton_property_25_11073_corrupted,creditors[0].amount_claimed,ASSOCIATION_RANK_MISS,False,False,False,True
short/real_clinton_property_25_11073_corrupted,creditors[1].number,RETRIEVAL_NO_CANDIDATE,False,False,False,False
short/real_clinton_property_25_11073_corrupted,creditors[1].part,INCOMPLETE_PERCEPTION,False,False,False,False
short/real_clinton_property_25_11073_corrupted,creditors[1].creditor_name,ASSOCIATION_RANK_MISS,False,False,False,True
short/real_clinton_property_25_11073_corrupted,creditors[1].mailing_address[0],ASSOCIATION_RANK_MISS,False,False,False,True
short/real_clinton_property_25_11073_corrupted,creditors[1].mailing_address[1],ASSOCIATION_RANK_MISS,False,False,False,True
short/real_clinton_property_25_11073_corrupted,creditors[1].contingent,INCOMPLETE_PERCEPTION,False,False,False,False
short/real_clinton_property_25_11073_corrupted,creditors[2].number,INCOMPLETE_PERCEPTION,False,False,False,False
short/real_clinton_property_25_11073_corrupted,creditors[2].part,INCOMPLETE_PERCEPTION,False,False,False,False
short/real_clinton_property_25_11073_corrupted,creditors[2].creditor_name,ASSOCIATION_RANK_MISS,False,False,False,True
short/real_clinton_property_25_11073_corrupted,creditors[2].mailing_address[0],ASSOCIATION_RANK_MISS,False,False,False,True
short/real_clinton_property_25_11073_corrupted,creditors[2].mailing_address[1],INCOMPLETE_PERCEPTION,False,False,False,False
short/real_clinton_property_25_11073_corrupted,creditors[2].basis_for_claim,INCOMPLETE_PERCEPTION,False,False,False,False
short/real_clinton_property_25_11073_corrupted,creditors[2].contingent,INCOMPLETE_PERCEPTION,False,False,False,False
short/real_clinton_property_25_11073_corrupted,creditors[2].unliquidated,INCOMPLETE_PERCEPTION,False,False,False,False
short/real_clinton_property_25_11073_corrupted,creditors[2].subject_to_offset,INCOMPLETE_PERCEPTION,False,False,False,False
short/real_clinton_property_25_11073_corrupted,creditors[2].amount_claimed,RETRIEVAL_NO_CANDIDATE,False,False,False,False
short/real_clinton_property_25_11073_corrupted,creditors[3].number,INCOMPLETE_PERCEPTION,False,False,False,False
short/real_clinton_property_25_11073_corrupted,creditors[3].part,INCOMPLETE_PERCEPTION,False,False,False,False
short/real_clinton_property_25_11073_corrupted,creditors[3].creditor_name,RETRIEVAL_NO_CANDIDATE,False,False,False,False
short/real_clinton_property_25_11073_corrupted,creditors[3].mailing_address[0],ASSOCIATION_RANK_MISS,False,False,False,True
short/real_clinton_property_25_11073_corrupted,creditors[3].mailing_address[1],ASSOCIATION_RANK_MISS,False,False,False,True
short/real_clinton_property_25_11073_corrupted,creditors[3].contingent,INCOMPLETE_PERCEPTION,False,False,False,False
short/real_clinton_property_25_11073_corrupted,creditors[3].unliquidated,INCOMPLETE_PERCEPTION,False,False,False,False
short/real_clinton_property_25_11073_corrupted,creditors[3].disputed,INCOMPLETE_PERCEPTION,False,False,False,False
short/real_clinton_property_25_11073_corrupted,creditors[3].subject_to_offset,INCOMPLETE_PERCEPTION,False,False,False,False
short/real_clinton_property_25_11073_corrupted,creditors[4].number,INCOMPLETE_PERCEPTION,False,False,False,False
short/real_clinton_property_25_11073_corrupted,creditors[4].part,INCOMPLETE_PERCEPTION,False,False,False,False
